Time: 2025-10-09 09:20
PGEL-I,🟢 BUY - Call Potential,8.68,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
HINDZINC-I,🟢 BUY - Call Potential,10.46,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,9.48,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:05
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
HINDZINC-I,🟢 BUY - Call Potential,10.04,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,7.46,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:10
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
HINDZINC-I,🟢 BUY - Call Potential,9.87,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,6.82,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
IGL-I,🟢 BUY - Call Potential,11.30,N/A,0,0,Normal,📈 Consider Calls
HINDZINC-I,🟢 BUY - Call Potential,9.32,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,6.71,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
IGL-I,🟢 BUY - Call Potential,11.35,N/A,0,0,Normal,📈 Consider Calls
HINDZINC-I,🟢 BUY - Call Potential,8.79,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,5.50,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
IGL-I,🟢 BUY - Call Potential,9.96,N/A,0,0,Normal,📈 Consider Calls
HINDZINC-I,🟢 BUY - Call Potential,8.67,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,5.02,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
IGL-I,🟢 BUY - Call Potential,10.33,N/A,0,0,Normal,📈 Consider Calls
HINDZINC-I,🟢 BUY - Call Potential,8.44,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,6.67,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
IGL-I,🟢 BUY - Call Potential,11.58,N/A,0,0,Normal,📈 Consider Calls
HINDZINC-I,🟢 BUY - Call Potential,8.14,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,8.01,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,🟢 BUY - Call Potential,9.98,N/A,0,0,Normal,📈 Consider Calls
IGL-I,🟢 BUY - Call Potential,9.14,N/A,0,0,Normal,📈 Consider Calls
HINDZINC-I,🟢 BUY - Call Potential,8.14,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:45
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.46,N/A,0,0,Normal,⚡ BUY CALLS
HINDZINC-I,🟢 BUY - Call Potential,8.42,N/A,0,0,Normal,📈 Consider Calls
IGL-I,🟢 BUY - Call Potential,8.40,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:50
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.81,N/A,0,0,Normal,⚡ BUY CALLS
IGL-I,🟢 BUY - Call Potential,9.31,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 12:55
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,16.74,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,12.23,N/A,0,0,Normal,⚡ BUY CALLS
IGL-I,🟢 BUY - Call Potential,9.61,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,16.95,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,12.81,N/A,0,0,Normal,⚡ BUY CALLS
IGL-I,🟢 BUY - Call Potential,8.63,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:05
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,16.57,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,13.91,N/A,0,0,Normal,⚡ BUY CALLS
IGL-I,🟢 BUY - Call Potential,8.81,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:10
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,16.95,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,🟢 BUY - Call Potential,11.43,N/A,0,0,Normal,📈 Consider Calls
IGL-I,🟢 BUY - Call Potential,8.36,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,🟢 BUY - Call Potential,11.59,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,11.01,N/A,0,0,Normal,📈 Consider Calls
IGL-I,🟢 BUY - Call Potential,7.21,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,12.70,N/A,0,0,Normal,⚡ BUY CALLS
MCX-I,🟢 BUY - Call Potential,11.87,N/A,0,0,Normal,📈 Consider Calls
IGL-I,🟢 BUY - Call Potential,5.11,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,12.12,N/A,0,0,Normal,⚡ BUY CALLS
MCX-I,🟢 BUY - Call Potential,11.36,N/A,0,0,Normal,📈 Consider Calls
IGL-I,🟢 BUY - Call Potential,5.99,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,🟢 BUY - Call Potential,11.87,N/A,0,0,Normal,📈 Consider Calls
MCX-I,🟢 BUY - Call Potential,11.09,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,13.26,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,12.02,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-09 13:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,🟢 BUY - Call Potential,10.76,N/A,0,0,Normal,📈 Consider Calls
MCX-I,🟢 BUY - Call Potential,10.23,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:45
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,🟢 BUY - Call Potential,9.36,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,7.82,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:50
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,🟢 BUY - Call Potential,8.90,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,7.06,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 13:55
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,🟢 BUY - Call Potential,7.95,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,7.33,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 14:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,🟢 BUY - Call Potential,7.99,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,7.35,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 14:05
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,🟢 BUY - Call Potential,9.51,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,7.32,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 14:10
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,🟢 BUY - Call Potential,8.70,N/A,0,0,Normal,📈 Consider Calls
MCX-I,🟢 BUY - Call Potential,7.87,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 14:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,12.33,N/A,0,0,Normal,⚡ BUY CALLS
MCX-I,🟢 BUY - Call Potential,10.93,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 14:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,12.96,N/A,0,0,Normal,⚡ BUY CALLS
MCX-I,🟢 BUY - Call Potential,11.59,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 14:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.76,N/A,0,0,Normal,⚡ BUY CALLS
MCX-I,🟢 BUY - Call Potential,11.18,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 14:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,13.02,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-09 14:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,13.16,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-09 14:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MCX-I,⚡ STRONG BUY,13.13,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-09 15:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,🟢 BUY - Call Potential,10.66,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-09 15:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.34,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-09 15:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,15.09,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-09 15:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.68,N/A,0,0,Normal,⚡ BUY CALLS
SAIL-I,🟢 BUY - Call Potential,11.59,N/A,0,0,Normal,📈 Consider Calls
UNOMINDA-I,🔴 SELL - Put Potential,-5.53,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-09 15:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.68,N/A,0,0,Normal,⚡ BUY CALLS
SAIL-I,🟢 BUY - Call Potential,11.59,N/A,0,0,Normal,📈 Consider Calls

